Area_name,Area_type,Average_2018_2019,Category,Count,Type,Variation (%),Week_ending
Aberdeen City,HSC partnership,876,All,952,Sex,8.7,05 Jan 20
Aberdeenshire,HSC partnership,550.5,All,587,Sex,6.6,05 Jan 20
Angus,HSC partnership,210.5,All,224,Sex,6.4,05 Jan 20
Argyll & Bute,HSC partnership,219,All,303,Sex,38.4,05 Jan 20
Clackmannanshire & Stirling,HSC partnership,448,All,477,Sex,6.5,05 Jan 20
Dumfries & Galloway,HSC partnership,875.5,All,917,Sex,4.7,05 Jan 20
Dundee City,HSC partnership,549,All,561,Sex,2.2,05 Jan 20
East Ayrshire,HSC partnership,657.5,All,695,Sex,5.7,05 Jan 20
East Dunbartonshire,HSC partnership,391.5,All,394,Sex,0.6,05 Jan 20
East Lothian,HSC partnership,477.5,All,428,Sex,-10.4,05 Jan 20
East Renfrewshire,HSC partnership,395.5,All,350,Sex,-11.5,05 Jan 20
Edinburgh,HSC partnership,1998.5,All,2095,Sex,4.8,05 Jan 20
Falkirk,HSC partnership,734,All,775,Sex,5.6,05 Jan 20
Fife,HSC partnership,1406.5,All,1392,Sex,-1,05 Jan 20
Glasgow City,HSC partnership,3319,All,3279,Sex,-1.2,05 Jan 20
Highland,HSC partnership,947,All,1030,Sex,8.8,05 Jan 20
Inverclyde,HSC partnership,601,All,594,Sex,-1.2,05 Jan 20
Midlothian,HSC partnership,483.5,All,503,Sex,4,05 Jan 20
Moray,HSC partnership,466.5,All,564,Sex,20.9,05 Jan 20
NHS Ayrshire & Arran,Health board,1972.5,All,2048,Sex,3.8,05 Jan 20
NHS Borders,Health board,611,All,696,Sex,13.9,05 Jan 20
NHS Dumfries & Galloway,Health board,909.5,All,958,Sex,5.3,05 Jan 20
NHS Fife,Health board,1286.5,All,1317,Sex,2.4,05 Jan 20
NHS Forth Valley,Health board,1221,All,1289,Sex,5.6,05 Jan 20
NHS Grampian,Health board,1912,All,2111,Sex,10.4,05 Jan 20
NHS Greater Glasgow & Clyde,Health board,6786,All,6732,Sex,-0.8,05 Jan 20
NHS Highland,Health board,1149.5,All,1307,Sex,13.7,05 Jan 20
NHS Lanarkshire,Health board,3810,All,3937,Sex,3.3,05 Jan 20
NHS Lothian,Health board,4248,All,4282,Sex,0.8,05 Jan 20
NHS Orkney,Health board,114.5,All,135,Sex,17.9,05 Jan 20
NHS Shetland,Health board,141,All,139,Sex,-1.4,05 Jan 20
NHS Tayside,Health board,1392.5,All,1357,Sex,-2.5,05 Jan 20
NHS Western Isles,Health board,131,All,145,Sex,10.7,05 Jan 20
North Ayrshire,HSC partnership,706,All,719,Sex,1.8,05 Jan 20
North Lanarkshire,HSC partnership,2204,All,2304,Sex,4.5,05 Jan 20
Orkney Islands,HSC partnership,112.5,All,122,Sex,8.4,05 Jan 20
Perth & Kinross,HSC partnership,505,All,494,Sex,-2.2,05 Jan 20
Renfrewshire,HSC partnership,1096,All,1056,Sex,-3.6,05 Jan 20
Scotland,Scotland,25685,All,26453,Sex,3,05 Jan 20
Scottish Borders,HSC partnership,591,All,672,Sex,13.7,05 Jan 20
Shetland Islands,HSC partnership,134.5,All,138,Sex,2.6,05 Jan 20
South Ayrshire,HSC partnership,657.5,All,673,Sex,2.4,05 Jan 20
South Lanarkshire,HSC partnership,1905.5,All,1907,Sex,0.1,05 Jan 20
West Dunbartonshire,HSC partnership,347.5,All,386,Sex,11.1,05 Jan 20
West Lothian,HSC partnership,1064.5,All,995,Sex,-6.5,05 Jan 20
Western Isles,HSC partnership,129.5,All,139,Sex,7.3,05 Jan 20
Aberdeen City,HSC partnership,833,All,806,Sex,-3.2,12 Jan 20
Aberdeenshire,HSC partnership,466.5,All,511,Sex,9.5,12 Jan 20
Angus,HSC partnership,194,All,207,Sex,6.7,12 Jan 20
Argyll & Bute,HSC partnership,213,All,265,Sex,24.4,12 Jan 20
Clackmannanshire & Stirling,HSC partnership,406.5,All,443,Sex,9,12 Jan 20
Dumfries & Galloway,HSC partnership,794,All,835,Sex,5.2,12 Jan 20
Dundee City,HSC partnership,524.5,All,511,Sex,-2.6,12 Jan 20
East Ayrshire,HSC partnership,690,All,677,Sex,-1.9,12 Jan 20
East Dunbartonshire,HSC partnership,357,All,366,Sex,2.5,12 Jan 20
East Lothian,HSC partnership,425.5,All,431,Sex,1.3,12 Jan 20
East Renfrewshire,HSC partnership,384,All,383,Sex,-0.3,12 Jan 20
Edinburgh,HSC partnership,1905.5,All,1962,Sex,3,12 Jan 20
Falkirk,HSC partnership,692.5,All,779,Sex,12.5,12 Jan 20
Fife,HSC partnership,1280.5,All,1290,Sex,0.7,12 Jan 20
Glasgow City,HSC partnership,3231,All,3227,Sex,-0.1,12 Jan 20
Highland,HSC partnership,830,All,928,Sex,11.8,12 Jan 20
Inverclyde,HSC partnership,525,All,629,Sex,19.8,12 Jan 20
Midlothian,HSC partnership,517.5,All,511,Sex,-1.3,12 Jan 20
Moray,HSC partnership,404.5,All,480,Sex,18.7,12 Jan 20
NHS Ayrshire & Arran,Health board,1957.5,All,1963,Sex,0.3,12 Jan 20
NHS Borders,Health board,574,All,557,Sex,-3,12 Jan 20
NHS Dumfries & Galloway,Health board,811,All,852,Sex,5.1,12 Jan 20
NHS Fife,Health board,1175,All,1218,Sex,3.7,12 Jan 20
NHS Forth Valley,Health board,1135,All,1231,Sex,8.5,12 Jan 20
NHS Grampian,Health board,1738.5,All,1813,Sex,4.3,12 Jan 20
NHS Greater Glasgow & Clyde,Health board,6616,All,6756,Sex,2.1,12 Jan 20
NHS Highland,Health board,983.5,All,1097,Sex,11.5,12 Jan 20
NHS Lanarkshire,Health board,3771.5,All,4036,Sex,7,12 Jan 20
NHS Lothian,Health board,4024.5,All,4129,Sex,2.6,12 Jan 20
NHS Orkney,Health board,99,All,148,Sex,49.5,12 Jan 20
NHS Shetland,Health board,139.5,All,128,Sex,-8.2,12 Jan 20
NHS Tayside,Health board,1300,All,1313,Sex,1,12 Jan 20
NHS Western Isles,Health board,115,All,134,Sex,16.5,12 Jan 20
North Ayrshire,HSC partnership,696.5,All,696,Sex,-0.1,12 Jan 20
North Lanarkshire,HSC partnership,2255.5,All,2380,Sex,5.5,12 Jan 20
Orkney Islands,HSC partnership,96,All,141,Sex,46.9,12 Jan 20
Perth & Kinross,HSC partnership,492,All,534,Sex,8.5,12 Jan 20
Renfrewshire,HSC partnership,1104,All,1185,Sex,7.3,12 Jan 20
Scotland,Scotland,24440,All,25375,Sex,3.8,12 Jan 20
Scottish Borders,HSC partnership,582.5,All,558,Sex,-4.2,12 Jan 20
Shetland Islands,HSC partnership,132,All,125,Sex,-5.3,12 Jan 20
South Ayrshire,HSC partnership,629.5,All,633,Sex,0.6,12 Jan 20
South Lanarkshire,HSC partnership,1866.5,All,1981,Sex,6.1,12 Jan 20
West Dunbartonshire,HSC partnership,354,All,354,Sex,0,12 Jan 20
West Lothian,HSC partnership,1021.5,All,1048,Sex,2.6,12 Jan 20
Western Isles,HSC partnership,120,All,133,Sex,10.8,12 Jan 20
Aberdeen City,HSC partnership,870,All,883,Sex,1.5,19 Jan 20
Aberdeenshire,HSC partnership,477.5,All,544,Sex,13.9,19 Jan 20
Angus,HSC partnership,183,All,206,Sex,12.6,19 Jan 20
Argyll & Bute,HSC partnership,234.5,All,223,Sex,-4.9,19 Jan 20
Clackmannanshire & Stirling,HSC partnership,417.5,All,421,Sex,0.8,19 Jan 20
Dumfries & Galloway,HSC partnership,806,All,800,Sex,-0.7,19 Jan 20
Dundee City,HSC partnership,534.5,All,553,Sex,3.5,19 Jan 20
East Ayrshire,HSC partnership,638,All,615,Sex,-3.6,19 Jan 20
East Dunbartonshire,HSC partnership,341.5,All,369,Sex,8.1,19 Jan 20
East Lothian,HSC partnership,445,All,443,Sex,-0.4,19 Jan 20
East Renfrewshire,HSC partnership,353,All,403,Sex,14.2,19 Jan 20
Edinburgh,HSC partnership,2051.5,All,2072,Sex,1,19 Jan 20
Falkirk,HSC partnership,684.5,All,744,Sex,8.7,19 Jan 20
Fife,HSC partnership,1266.5,All,1378,Sex,8.8,19 Jan 20
Glasgow City,HSC partnership,3207,All,3336,Sex,4,19 Jan 20
Highland,HSC partnership,863,All,867,Sex,0.5,19 Jan 20
Inverclyde,HSC partnership,554.5,All,569,Sex,2.6,19 Jan 20
Midlothian,HSC partnership,495,All,571,Sex,15.4,19 Jan 20
Moray,HSC partnership,425,All,517,Sex,21.6,19 Jan 20
NHS Ayrshire & Arran,Health board,1900.5,All,1909,Sex,0.4,19 Jan 20
NHS Borders,Health board,518.5,All,591,Sex,14,19 Jan 20
NHS Dumfries & Galloway,Health board,814.5,All,817,Sex,0.3,19 Jan 20
NHS Fife,Health board,1167.5,All,1268,Sex,8.6,19 Jan 20
NHS Forth Valley,Health board,1139,All,1214,Sex,6.6,19 Jan 20
NHS Grampian,Health board,1798.5,All,1977,Sex,9.9,19 Jan 20
NHS Greater Glasgow & Clyde,Health board,6476,All,6724,Sex,3.8,19 Jan 20
NHS Highland,Health board,1038,All,1022,Sex,-1.5,19 Jan 20
NHS Lanarkshire,Health board,3653,All,3855,Sex,5.5,19 Jan 20
NHS Lothian,Health board,4071,All,4362,Sex,7.1,19 Jan 20
NHS Orkney,Health board,110,All,139,Sex,26.4,19 Jan 20
NHS Shetland,Health board,142.5,All,123,Sex,-13.7,19 Jan 20
NHS Tayside,Health board,1258,All,1337,Sex,6.3,19 Jan 20
NHS Western Isles,Health board,109.5,All,109,Sex,-0.5,19 Jan 20
